"lon","lat","structure.17085..class....Date.."
-108.79588,33.3616,2016-10-11
-104.94225,38.39054,2016-10-11
-103.05972,36.84274,2016-10-11
-109.08,40.1,2016-10-11
-109.18,39.65,2016-10-11
-109.5022,39.7369,2016-10-11
-115.3077,35.2637,2016-10-11
-115.3124,35.2603,2016-10-11
-107.96667,39.76667,2016-10-11
-115.6917,34.8394,2016-10-11
-115.3516,35.2836,2016-10-11
-115.2759,35.2721,2016-10-11
-115.298,35.2526,2016-10-11
-115.3113,35.2621,2016-10-11
-112.23,37.77,2016-10-11
-102.92651,36.90305,2016-10-11
-115.29972,35.22528,2016-10-11
-103.02349,36.81373,2016-10-11
-103.02349,36.81373,2016-10-11
-107.90472,32.64474,2016-10-11
-103.80415,35.77684,2016-10-11
-109.35,37.89166,2016-10-11
-115.46833,35.21583,2016-10-11
-115.2908,35.2584,2016-10-11
-102.97028,36.87769,2016-10-11
-115.51056,34.98778,2016-10-11
-115.465,34.96667,2016-10-11
-102.96817,37.03672,2016-10-11
-103.99425,37.64356,2016-10-11
-109.48,32.15,2016-10-11
-108.28,33.17,2016-10-11
-112,34,2016-10-11
-108.43,31.74,2016-10-11
-109.37,33.13,2016-10-11
-115.2891,35.2726,2016-10-11
-106.176,38.7263,2016-10-11
-111.65,35.2,2016-10-11
-102.9137,37.08026,2016-10-11
-103.35167,37.58019,2016-10-11
-102.9137,37.08026,2016-10-11
-103.35167,37.58019,2016-10-11
-104.90841,37.62411,2016-10-11
-105.46722,33.54524,2016-10-11
-107.90472,32.64474,2016-10-11
-105.60196,34.28845,2016-10-11
-105.44634,35.40499,2016-10-11
-105.07926,36.20119,2016-10-11
-105.11806,38.30329,2016-10-11
-105.11806,38.30329,2016-10-11
-102.93558,36.90306,2016-10-11
-110.01159,37.58097,2016-10-11
-109.24111,38.44889,2016-10-11
-111.75,34.88,2016-10-11
-112,34,2016-10-11
-115.4097,35.1753,2016-10-11
-116.60497,33.55947,2016-10-11
-105.5,33.5,2016-10-11
-115.3083,35.2604,2016-10-11
-102.93195,36.90306,2016-10-11
-111.3711,35.52,2016-10-11
-105.0772,40.5661,2016-10-11
-115.289,35.2727,2016-10-11
-115.2875,35.2725,2016-10-11
-115.289,35.2727,2016-10-11
-115.28898,35.27267,2016-10-11
-108.65906,37.34156,2016-10-11
-104.82518,38.83078,2016-10-11
-111.67,35.15,2016-10-11
-115.3336,35.2441,2016-10-11
-115.3051,35.2983,2016-10-11
-103.9678,36.78389,2016-10-11
-106.57,32.8,2016-10-11
-115.21667,35.35,2016-10-11
-116.601,33.6287,2016-10-11
-104.5,37.1667,2016-10-11
-113.4267,35.5397,2016-10-11
-106.35,37.6667,2016-10-11
-107.583,37.2167,2016-10-11
-105.017,37.15,2016-10-11
-108.583,37.3333,2016-10-11
-106.35,37.6667,2016-10-11
-102.98,36.92,2016-10-11
-109.28,31.83,2016-10-11
-112.1892,38.46,2016-10-11
-105,39,2016-10-11
-111.3711,35.52,2016-10-11
-105.38,33.5,2016-10-11
-111.3711,35.52,2016-10-11
-105.37,35.98,2016-10-11
-77.0306,38.8892,2016-10-11
-105,35,2016-10-11
-111.53,35.36,2016-10-11
-103.983,35.316,2016-10-11
-105.5525,37.6189,2016-10-11
-107.53612,37.03335,2016-10-11
170.91667,-42.91667,2016-10-11
-112.64,38.41,2016-10-11
-104.86,31.89111,2016-10-11
-105.0795,39.0853,2016-10-11
-106.5531,39.9565,2016-10-11
-112.64,38.41,2016-10-11
-103.0358,37.1129,2016-10-11
-107.7379,38.8008,2016-10-11
-108.84015,40.46641,2016-10-11
-115.29823,35.25527,2016-10-11
-108.50453,37.47493,2016-10-11
-111.53,35.36,2016-10-11
-105.4954,38.4499,2016-10-11
-112.61,37.3,2016-10-11
-112.64,38.41,2016-10-11
-112.64,38.41,2016-10-11
