"","lon","lat","dwnld.date"
"144",-104.9656,39.7456,2017-07-25
"145",-115.3723,35.2721999991101,2017-07-25
"146",-105.961944,38.507778,2017-07-25
"147",-105.96194,38.50777,2017-07-25
"148",-105.961944,38.507778,2017-07-25
"149",-105,39,2017-07-25
"152",-110,40,2017-07-25
"153",-11.418889,38.754722,2017-07-25
"154",-111.41888,38.75472,2017-07-25
"155",-11.418889,38.754722,2017-07-25
"158",-112.1174,36.06628,2017-07-25
"159",-112.128,36.05361,2017-07-25
"160",-112.1184,36.04881,2017-07-25
"164",-111.83111,36.03194,2017-07-25
"165",-112.8085,38.21883,2017-07-25
"166",-111.66,39.19,2017-07-25
"167",-109.425,39.6708,2017-07-25
"169",-106.026389,36.505278,2017-07-25
"170",-106.026389,36.505278,2017-07-25
"174",-105.104202,38.208302,2017-07-25
"175",-108.495834,38.920834,2017-07-25
"176",-109.425003,39.670834,2017-07-25
"177",-105.104202,38.208302,2017-07-25
"178",-109.15,39.7792,2017-07-25
"179",-108.4958,38.9208,2017-07-25
"180",-109.150001,39.779167,2017-07-25
"181",-112.683334,37.879166,2017-07-25
"182",-109.15,39.7792,2017-07-25
"183",-109.150001,39.779167,2017-07-25
"184",-108.495833,38.920833,2017-07-25
"185",-109.425003,39.670834,2017-07-25
"186",-108.533333,39.304167,2017-07-25
"187",-108.533333,39.304165,2017-07-25
"190",-105.0194,37.7775,2017-07-25
"191",-105.0194,37.7775,2017-07-25
"192",-105.992778,38.3575,2017-07-25
"193",-106.230556,38.141111,2017-07-25
"194",-106.207222,38.183333,2017-07-25
"195",-106.207222,38.183333,2017-07-25
"196",-106.170556,38.114167,2017-07-25
"197",-106.170556,38.114167,2017-07-25
"199",-104.6622,32.1969,2017-07-25
"202",-112.3,38.09,2017-07-25
"207",-105.55777,36.25222,2017-07-25
"208",-111.726667,34.914167,2017-07-25
"209",-111.726667,34.914167,2017-07-25
"210",-105.557778,36.252222,2017-07-25
"211",-104.975833,37.413889,2017-07-25
"213",-103.337394,37.523025,2017-07-25
"214",-104.975833,37.413889,2017-07-25
"215",-103.337995,37.52323,2017-07-25
"217",-112.120556,36.055,2017-07-25
"218",-115.5856,35.5260999991074,2017-07-25
"219",-115.3113,35.2599999991103,2017-07-25
"222",-115.3113,35.26,2017-07-25
"223",-115.3087,35.2633999991102,2017-07-25
"224",-115.5856,35.5261,2017-07-25
"229",-104.9619,39.73193,2017-07-25
"230",-104.9619,39.73193,2017-07-25
"231",-109.210077,39.798416,2017-07-25
"232",-111.42,33.67,2017-07-25
"233",-110.474275,40.165433,2017-07-25
"234",-111.42,33.67,2017-07-25
"235",-110.474275,40.165433,2017-07-25
"236",-110.926442,38.847473,2017-07-25
"237",-110.926442,38.847473,2017-07-25
"238",-108.239444,32.476111,2017-07-25
"239",-105.7194,38.0325,2017-07-25
"241",-105.5981,35.0047,2017-07-25
"242",-105.5981,35.0047,2017-07-25
"244",-109.1755,40.89433,2017-07-25
"248",-106.133704,38.906394,2017-07-25
"251",-104.9619,39.73193,2017-07-25
"252",-104.9619,39.73193,2017-07-25
"253",-111.98,40.44,2017-07-25
"254",-112.17,40.65,2017-07-25
"255",-98.663889,19.366667,2017-07-25
"256",-110.83,40.17,2017-07-25
"257",-104.783333,31.707778,2017-07-25
"258",-110.83,40.17,2017-07-25
"276",-108.875,38.466667,2017-07-25
"279",-107.891663,39.6580839990728,2017-07-25
"286",-107.85,39.96666,2017-07-25
"287",-104.05,30.48333,2017-07-25
"295",-103.983002,35.316002,2017-07-25
"296",-105.716667,38.033333,2017-07-25
"297",-111,39.5,2017-07-25
"298",-104.86,31.891111,2017-07-25
"300",-111.893047,34.829466,2017-07-25
"303",-106.674887,39.927521,2017-07-25
"304",-106.674887,39.927521,2017-07-25
"308",-104.923972,37.154081,2017-07-25
"310",-102.947127,37.041657,2017-07-25
"316",-110.736944,33.789167,2017-07-25
"317",-110.736944,33.789167,2017-07-25
"322",-109.32,38.43,2017-07-25
"323",-108.796,33.3616,2017-07-25
"333",-104.942254,38.390536,2017-07-25
"335",-103.05972,36.84274,2017-07-25
"343",-109.08,40.1,2017-07-25
"348",-109.18,39.65,2017-07-25
"372",-115.3077,35.2636999991102,2017-07-25
"373",-115.3077,35.2637,2017-07-25
"374",-115.3124,35.2603,2017-07-25
"375",-109.5022,39.7369,2017-07-25
"377",-115.3124,35.2602999991103,2017-07-25
"379",-107.966667,39.766667,2017-07-25
"380",-115.6917,34.839399999115,2017-07-25
"381",-115.6917,34.8394,2017-07-25
"383",-115.3516,35.2836,2017-07-25
"385",-115.3516,35.28359999911,2017-07-25
"389",-101.036667,25.3375,2017-07-25
"390",-101.036667,25.3375,2017-07-25
"392",-115.2647,35.2735999991101,2017-07-25
"393",-115.2759,35.2721,2017-07-25
"394",-115.2734,35.2723999991101,2017-07-25
"395",-115.2734,35.2723999991101,2017-07-25
"396",-115.2647,35.2735999991101,2017-07-25
"397",-115.2759,35.2720999991101,2017-07-25
